city_names,temp
abohar,31.837
adoni,29.7955
agartala,32.687
agra,32.046
agwar,32.046
ahmadnagar,27.835999
ahmedabad,30.374
aizawl,24.777
ajmer,30.460001
akola,29.0565
alasandigutta,29.763
aligarh,32.3065
alleppey,27.409
alwal,28.088999
alwar,30.912
ambattur,35.1175
amravati,28.854
amritsar,31.8545
amroha,32.3455
anand,29.036999
anantapur,32.515
arrah,32.713
asansol,29.332499
aurangabad,27.373001
avadi,34.872
bada barabil,25.192
baharampur,30.4935
bahraigh,33.4805
bali,29.9065
bangalore,27.096
bankura,29.078
barakpur,29.3305
baramula,24.6465
barasat,29.187
barddhaman,29.206501
bareilly,32.1655
batala,31.4955
beawar,30.877998
bellary,30.2705
betigeri,27.932
bettiah,32.482502
bhadravati,25.743
bhagalpur,31.12
bhalswa jahangirpur,31.413
bhangar,29.567501
bharatpur,32.0695
bharuch,29.8065
bhatinda,32.0195
bhatpara,29.6935
bhavnagar,28.0525
bhayandar,27.4965
bhilai,29.021502
bhilai01,28.786999
bhilwara,30.6475
bhimavaram,31.2305
bhind,31.474
bhiwandi,27.456501
bhiwani,31.387
bhopal,28.380999
bhubaneshwar,27.0025
bhusaval,28.385
bidar,27.118502
bihar,31.404501
bijapur,28.0655
bikaner,29.596
bilaspur,30.731998
bir,29.543499
bongaigaon,32.628
brahmapur,27.072
budaun,32.363
bulandshahr,32.1435
burhanpur,28.711
byatarayanpur,27.3415
calicut,27.5015
cannanore,26.872002
cawnpore,32.685
chakradharpur,27.597
chanda,28.4345
chandannagar,29.667501
chandigarh,31.4805
chapra,32.836998
chas,27.944
chennai,35.113
chhatarpur,30.6525
chhindwara,27.167501
chicacole,29.237
chinchvad,26.215
chirala,33.3675
chitaldrug,26.447
chittandikavundanur,27.61
chittoor,33.497
coimbatore,28.5835
conjeeveram,35.076
cuddalore,35.6305
cuddapah,34.392002
cuttack,26.9935
dam dam,29.5545
darbhanga,32.213
dasarhalli,27.374
davangere,27.2505
dehra dun,29.5615
dehri,30.9545
delhi cantonment,31.2435
delhi,31.593
deo,30.3665
deoghar,29.263
dewas,28.4545
dhanbad,29.265501
dhulia,28.8905
dinapore,32.7565
dindigul,35.310997
drabar,20.899
drug,29.0285
durgapur,28.733
ellore,31.530499
erode,33.8535
etah,32.076
etawah,31.072
faridabad,31.741
farrukhabad,31.8415
fatehpur,32.613
fyzabad,32.798
gadag,27.815
gadda madiral,30.2845
ganganagar,32.080498
gaya,30.682499
ghandinagar,30.3545
ghaziabad,31.478498
godhra,30.961
gokak,27.279001
gorakhpur,32.6
gulbarga,29.2845
guna,29.286999
guntur,31.937
gurgaon,31.817001
guwahati,34.262497
gwalior,30.7435
habra,28.85
haldia,29.793499
handwara,25.578999
hanumangarh,31.387
haora,29.324001
hapur,31.6175
haridwar,32.0415
hazaribagh,27.032
himatnagar,30.6175
hindupur,29.838999
hisar,31.987
hoshangabad,29.682499
hospet,28.7925
hosur,27.686499
hugli,29.667501
hyderabad,29.221
ichalkaranji,27.2955
imphal,28.383999
indore,28.337
ingraj bazar,30.75
jabalpur,29.817501
jaipur,30.155
jalandhar,32.013
jalgaon,28.4585
jalna,28.517
jamshedpur,27.831999
jaunpur,32.874
jind,31.611
jodhpur,32.010998
junagadh,26.4225
kaithal,31.543499
kakinada,31.1435
kalamboli,26.917
kalkaji devi,31.357
kamarhati,29.780499
kanchrapara,29.8675
kapra,28.2675
karaikkudi,36.156998
karimnagar,30.491499
karnal,31.6435
karur,35.0535
katri,29.449
khammam,31.626
khandwa,30.279999
khanna,31.2695
kharagpur,29.317501
khatima,32.02
kichha,32.299503
kiratot,23.261
kochi,27.357
koiridih,29.7785
kolar,28.143
kolhapur,26.523
kolkata,29.5545
korba,30.7505
kota,30.121
kotdwara,31.4795
kottayam,27.3955
krishnanagar,30.417501
kukatpalli,28.404501
kumbakonam,35.804497
kurnool,31.191
lingampalli,28.739
loni,31.463001
lucknow,32.85
ludhiana,32.072002
machilipatnam,31.9435
madanapalle,29.764
madhyamgram,29.786999
madurai,36.605
mahad,28.248
mahbubnagar,27.823
mahesana,30.5025
maldah,30.7565
maler kotla,31.3825
malkajgiri,28.338999
mandsaur,29.4675
mandvi,27.451
mandya,28.5845
mangalore,26.7955
masaurhi buzurg,31.663
mathura,32.437
mau,32.7805
mauli,31.4065
meerut,31.8675
mirzapur,32.6
moga,31.582499
mokameh,31.4415
monghyr,31.6415
moradabad,32.6285
morbi,27.9105
morena,31.711
mothihari,32.641
mukerian,31.030499
multai,27.085
mumbai,26.9995
muzaffarpur,32.6545
nadiad,29.587
nagercoil,29.0865
nagpur,29.185
naihati,29.674002
najafgarh,31.187
nalgonda,31.3155
nanded,29.691
nandyal,31.6265
nangloi jat,31.885
narela,32.1915
narnaul,31.3955
nasik,23.763
nellore,37.026
new delhi,31.582499
neyveli,36.05
nizamabad,30.2845
noida,31.5975
nowgong,34.5115
ongole,34.0065
orai,32.1805
oulgaret,35.881
padiala,31.5585
palghat,26.851
pali,32.7
pallavaram,34.719997
panchkula,31.461
pandharpur,30.365
pandhurna,28.6475
panihati,29.774
panipat,31.761
panvel,26.817501
parbhani,29.8895
pathankot,31.5975
pathardi,29.527
patiala,31.713001
patna,32.591503
petlad,29.113
prayagraj,32.9045
proddatur,33.6195
puducherry,34.939003
pulimaddi,31.6265
pune,26.864
puri,29.1915
quilon,27.024
rae bareli,32.85
raichur,29.0895
raiganj,32.026
raipur,28.633
rajahmundry,31.065
rajapalaiyam,35.1265
rajendranagar,29.2845
rajkot,26.374
ramgundam,30.362501
rampur,32.548
ranchi,25.3585
rasulpur,31.5975
ratlam,29.698
ratnagiri,26.8535
raurkela,27.072
rewa,31.429998
rewari,31.211
robertsonpet,28.616001
rudarpur,32.332
saharanpur,31.991
saharsa,31.7435
salem,32.613
salt lake city,29.574001
sambalpur,27.6955
sambhal,32.589
sangli,27.231998
sannai,31.126
sardarshahr,30.226
